marketId,orderId,time,ticker,tickSize,stepSize,isBuyer,price,amount,filledAmount,status,expiration,triggerCondition,context,averagePrice
2,22718116,2025-02-28 15:32:05,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2203,0.093,0,canceled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
2,22714251,2025-02-28 15:11:12,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2181.35,0.047,0.047,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,,2185.72
2,22714047,2025-02-28 15:10:19,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2179.66,0.046,0.046,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,,2184.02
2,22510937,2025-02-28 03:11:09,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2191,0.093,0,conditionally_canceled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
2,22447668,2025-02-28 02:31:45,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2186.37,0.093,0.093,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,2186.37
2,22446475,2025-02-28 02:02:30,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2186.14,0.093,0.093,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,,2191.22
2,22442115,2025-02-28 02:00:34,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2189.28,0.093,0.093,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,2189.28
2,22440537,2025-02-28 01:56:14,CRYPTO_ETH_PERP,0.01000000,0.00100000,False,2198.48,0.093,0.093,filled,"{'timeInForce': 'immediate_or_cancel', 'reduceOnly': True, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': True}",,,2203.07
2,22424279,2025-02-28 01:54:30,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2195,0.093,0.093,filled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,2195
2,22421550,2025-02-28 01:37:09,CRYPTO_ETH_PERP,0.01000000,0.00100000,True,2202.36,0.093,0,canceled,"{'timeInForce': 'default', 'reduceOnly': False, 'selfTradeBehavior': 'cancel_provide', 'expiresAt': None, 'isMarketOrder': False}",,,
